name,screen_name,user_id,female,age,term,party,government,constituency,region,country,constituency_type,electorate,turnout,majority
Mary Robinson,MaryRobinson01,1048278487,1,66,3,Conservative,1,Cheadle,North West,England,Borough,74577,74.96010834,4.178666619
Matt Rodda,MattRodda,216516145,0,55,2,Labour,0,Reading East,South East,England,Borough,77152,72.47770635,10.59408419
Matt Vickers,Matt_VickersMP,1.26E+18,0,38,1,Conservative,1,Stockton South,North East,England,Borough,76870,71.29179134,9.598189847
Matt Warman,mattwarman,17685009,0,40,3,Conservative,1,Boston and Skegness,East Midlands,England,County,69381,60.09714475,61.44714121
Matt Western,MattWestern_,243306810,0,59,2,Labour,0,Warwick and Leamington,West Midlands,England,Borough,76362,70.98425919,1.455585278
Matthew Hancock,MattHancock,19825835,0,43,4,Conservative,1,West Suffolk,East,England,County,80193,64.14150861,45.09205436
Matthew Offord,Offord4Hendon,236395049,0,52,4,Conservative,1,Hendon,London,England,Borough,82661,66.62755108,7.680435769
Matthew Pennycook,mtpennycook,21084719,0,39,3,Labour,0,Greenwich and Woolwich,London,England,Borough,79997,66.40249009,34.75903614
Meg Hillier,Meg_HillierMP,297967419,1,52,5,Labour,0,Hackney South and Shoreditch,London,England,Borough,89387,60.9025921,62.42767134
Mel Stride,MelJStride,3183943337,0,60,4,Conservative,1,Central Devon,South West,England,County,74296,78.16302358,30.51556688
Mhairi Black,MhairiBlack,120236641,1,27,3,SNP,0,Paisley and Renfrewshire South,Scotland,Scotland,County,64385,66.91620719,24.78646365
Michael Ellis,Michael_Ellis1,19858924,0,54,4,Conservative,1,Northampton North,East Midlands,England,Borough,58768,67.27981214,13.92802044
Michael Fabricant,Mike_Fabricant,19058678,0,71,8,Conservative,1,Lichfield,West Midlands,England,County,76616,70.47222512,43.77974923
Michael Gove,michaelgove,7.48E+17,0,54,5,Conservative,1,Surrey Heath,South East,England,County,81349,72.10168533,31.28345893
Michael Tomlinson,Michael4MDNP,200519122,0,44,3,Conservative,1,Mid Dorset and North Poole,South West,England,County,65427,74.78563896,30.44757817
Michelle Donelan,michelledonelan,116864791,1,37,3,Conservative,1,Chippenham,South West,England,County,77221,73.94232139,19.76917284
Michelle Gildernew,gildernewm,127619354,1,51,6,SF,0,Fermanagh and South Tyrone,Northern Ireland,Northern Ireland,County,72848,69.68207775,0.11228872
Mick Whitley,MickWhitleyMP,1.07E+18,0,121,1,Labour,0,Birkenhead,North West,England,Borough,63762,66.3859352,41.82711616
Mickey Brady,MickeyBradySF,2982986710,0,71,3,SF,0,Newry and Armagh,Northern Ireland,Northern Ireland,County,81226,62.51569694,18.2890565
Mike Amesbury,MikeAmesburyMP,20325923,0,52,2,Labour,0,Weaver Vale,North West,England,County,70551,71.88133407,1.108197109
Mike Freer,,,0,61,4,Conservative,1,Finchley and Golders Green,London,England,Borough,77573,71.04147061,11.90731097
Mike Hill,MikeHillMP,,0,121,2,Labour,0,Hartlepool,North East,England,Borough,70855,57.91687249,8.760386968
Mike Kane,MikeKaneMP,71777646,0,52,4,Labour,0,Wythenshawe and Sale East,North West,England,Borough,76313,58.65186796,23.22661364
Mike Penning,,,0,64,5,Conservative,1,Hemel Hempstead,East,England,County,74035,69.25238063,28.40397106
Mike Wood,mikejwood,14728535,0,45,3,Conservative,1,Dudley South,West Midlands,England,Borough,60731,60.2262436,42.55522747
Mims Davies,mimsdavies,236588290,1,46,3,Conservative,1,Mid Sussex,South East,England,County,85146,73.71103751,28.99365858
Miriam Cates,,,1,39,1,Conservative,1,Penistone and Stocksbridge,Yorkshire and The Humber,England,County,70925,69.82023264,14.55977383
Mohammad Yasin,YasinForBedford,8.87E+17,0,50,2,Labour,0,Bedford,East,England,Borough,71581,66.08038446,0.30654743
Munira Wilson,munirawilson,397566701,1,121,1,LibDem,0,Twickenham,London,England,Borough,84906,75.96989612,21.89200502
Nadhim Zahawi,nadhimzahawi,121127090,0,54,4,Conservative,1,Stratford-on-Avon,West Midlands,England,County,74037,74.35201318,36.2810638
Nadia Whittome,NadiaWhittomeMP,576682647,1,25,1,Labour,0,Nottingham East,East Midlands,England,Borough,66262,60.37246084,43.47815218
Nadine Dorries,,,1,64,5,Conservative,1,Mid Bedfordshire,East,England,County,87795,73.71376502,38.11054282
Natalie Elphicke,NatalieElphicke,1154535918,1,51,1,Conservative,1,Dover,South East,England,County,76355,66.40167638,24.21648488
Nav Mishra,NavPMishra,8.74E+17,0,121,1,Labour,0,Stockport,North West,England,Borough,65391,63.79318255,24.06568381
Naz Shah,NazShahBfd,355623405,1,48,3,Labour,0,Bradford West,Yorkshire and The Humber,England,Borough,70694,62.60927377,61.04471205
Neale Hanvey,JNHanvey,210446472,0,121,1,SNP,0,Kirkcaldy and Cowdenbeath,Scotland,Scotland,County,72853,64.52033547,2.644399532
Neil Coyle,coyleneil,248186795,0,43,3,Labour,0,Bermondsey and Old Southwark,London,England,Borough,93248,62.85925704,27.51172908
Neil Gray,neilgraysnp,287212988,0,35,3,SNP,0,Airdrie and Shotts,Scotland,Scotland,County,64011,62.13307088,13.07703912
Neil Hudson,DrNeilHudson,1.13E+18,0,121,1,Conservative,1,Penrith and The Border,North West,England,County,67555,70.79268744,38.7232352
Neil O'Brien,NeilDotObrien,64679759,0,43,2,Conservative,1,Harborough,East Midlands,England,County,80151,71.51376776,30.14358241
Neil Parish,neil_parish,3164087579,0,65,4,Conservative,1,Tiverton and Honiton,South West,England,County,82953,71.8635854,40.66059417
Nia Griffith,NiaGriffithMP,481120639,1,65,5,Labour,0,Llanelli,Wales,Wales,County,60518,63.17624508,12.21457903
Nicholas Brown,,,0,71,10,Labour,0,Newcastle Upon Tyne East,North East,England,Borough,63796,67.97448116,35.65778854
Nicholas Fletcher,NickFletcherMP,7.05E+17,0,121,1,Conservative,1,Don Valley,Yorkshire and The Humber,England,County,75356,60.29645947,7.989083786
Nick Gibb,NickGibbUK,3036280263,0,61,7,Conservative,1,Bognor Regis and Littlehampton,South East,England,County,77446,66.14027839,43.93143705
Nick Smith,BlaenauGwentMP,532351874,0,61,4,Labour,0,Blaenau Gwent,Wales,Wales,County,50739,59.55773665,28.61444786
Nick Thomas-Symonds,NickTorfaen,3092429597,0,41,3,Labour,0,Torfaen,Wales,Wales,County,62330,59.64383122,10.06563374
Nickie Aiken,twocitiesnickie,1.22E+18,1,52,1,Conservative,1,Cities of London and Westminster,London,England,Borough,63700,67.06907378,9.25262739
Nicola Faye Richards,Nicola4WBE,1337283895,1,121,1,Conservative,1,West Bromwich East,West Midlands,England,Borough,62046,57.98117526,4.428075052
Nigel Adams,nadams,3369594003,0,55,4,Conservative,1,Selby and Ainsty,Yorkshire and The Humber,England,County,78398,71.9635705,35.69250948
Nigel Evans,nigelmp,9260332,0,64,8,Conservative,1,Ribble Valley,North West,England,County,79247,69.76163136,33.35323059
Nigel Huddleston,HuddlestonNigel,568249574,0,51,3,Conservative,1,Mid Worcestershire,West Midlands,England,County,78220,71.75019177,49.92249167
Nigel Mills,nigelmills,995322806,0,47,4,Conservative,1,Amber Valley,East Midlands,England,County,69976,65.11804047,37.0575197
Nusrat Ghani,Nus_Ghani,1513382018,1,49,3,Conservative,1,Wealden,South East,England,County,82998,73.38369599,42.12159522
Oliver Dowden,OliverDowden,1.17E+18,0,43,3,Conservative,1,Hertsmere,East,England,County,73971,70.57225129,40.82715553
Oliver Heald,OliverHealdUK,206263631,0,67,8,Conservative,1,North East Hertfordshire,East,England,County,76123,72.68105566,32.8754496
Olivia Frances Blake,_OliviaBlake,990891818,1,31,1,Labour,0,"Sheffield, Hallam",Yorkshire and The Humber,England,County,72763,78.17846983,1.251648062
Orfhlaith Begley,OrfhlaithBegley,406646373,1,30,2,SF,0,West Tyrone,Northern Ireland,Northern Ireland,County,66259,62.15910291,18.15665517
Owen Paterson,OwenPaterson,2660755152,0,65,7,Conservative,1,North Shropshire,West Midlands,England,County,83258,67.87696077,40.6083556
Owen Thompson,OwenThompson,28354217,0,43,3,SNP,0,Midlothian,Scotland,Scotland,County,70544,68.35591971,11.83094502
Pat McFadden,patmcfaddenmp,25091518,0,56,5,Labour,0,Wolverhampton South East,West Midlands,England,Borough,62883,53.18289522,3.692850522
Patricia Gibson,PGibsonSNP,3030111953,1,53,3,SNP,0,North Ayrshire and Arran,Scotland,Scotland,County,73534,65.48535371,17.69531088
Patrick Grady,GradySNP,3000261466,0,41,3,SNP,0,Glasgow North,Scotland,Scotland,Borough,57130,63.34850341,15.47622337
Paul Beresford,,,0,75,8,Conservative,1,Mole Valley,South East,England,County,74665,76.48831447,21.08387323
Paul Blomfield,PaulBlomfieldMP,377319290,0,68,4,Labour,0,Sheffield Central,Yorkshire and The Humber,England,Borough,89849,56.6650714,53.56785104
Paul Bristow,paulbristow79,68357219,0,42,1,Conservative,1,Peterborough,East,England,Borough,72560,65.87789416,5.397376624
Paul Girvan,PaulGirvanMP,1374937922,0,58,2,DUP,0,South Antrim,Northern Ireland,Northern Ireland,County,71711,59.92665003,6.257271839
Paul Holmes,pauljholmes,172090468,0,33,1,Conservative,1,Eastleigh,South East,England,Borough,83880,70.30400572,26.46555086
Paul Howell,PaulHowellMP,577329523,0,121,1,Conservative,1,Sedgefield,North East,England,County,64325,64.618733,10.85743155
Paul Maskey,PaulMaskeyMP,80812413,0,54,4,SF,0,Belfast West,Northern Ireland,Northern Ireland,Borough,65644,59.0792761,37.83198391
Paul Maynard,PaulMaynardUK,15133808,0,46,4,Conservative,1,Blackpool North and Cleveleys,North West,England,Borough,63692,60.92444891,22.15235543
Paul Scully,scullyp,17484283,0,53,3,Conservative,1,Sutton and Cheam,London,England,Borough,71779,70.33672801,16.54089171
Paula Barker,PaulaBarkerMP,1.12E+18,1,49,1,Labour,0,"Liverpool, Wavertree",North West,England,Borough,63458,68.3554477,62.44092491
Pauline Latham,Pauline_Latham,19087569,1,73,4,Conservative,1,Mid Derbyshire,East Midlands,England,County,67442,73.18288307,31.17148878
Penny Mordaunt,PennyMordaunt,462856853,1,48,4,Conservative,1,Portsmouth North,South East,England,Borough,71299,64.39080492,34.3715966
Pete Wishart,PeteWishart,276868661,0,59,6,SNP,0,Perth and North Perthshire,Scotland,Scotland,County,72600,74.48484848,13.9618315
Peter Aldous,peter_aldous,255998767,0,60,4,Conservative,1,Waveney,East,England,County,82791,61.75671269,35.2089812
Peter Bone,PeterBoneUK,871469846,0,69,5,Conservative,1,Wellingborough,East Midlands,England,County,80765,64.27660497,35.71359775
Peter Bottomley,,,0,77,12,Conservative,1,Worthing West,South East,England,Borough,78585,69.53998855,27.12450593
Peter Dowd,Peter_Dowd,883173469,0,64,3,Labour,0,Bootle,North West,England,Borough,74832,65.7125294,70.27290845
Peter Gibson,Gibbo4Darlo,1.22E+18,0,46,1,Conservative,1,Darlington,North East,England,Borough,66397,65.51199602,7.572761966
Peter Grant,PeterGrantMP,3028314515,0,61,3,SNP,0,Glenrothes,Scotland,Scotland,County,65672,63.2628822,28.29875319
Peter Kyle,peterkyle,21769986,0,51,3,Labour,0,Hove,South East,England,Borough,74313,75.8830891,30.22468124
Philip Davies,PhilipDaviesUK,125312818,0,49,5,Conservative,1,Shipley,Yorkshire and The Humber,England,County,74029,72.94978995,11.55840308
Philip Dunne,Dunne4Ludlow,1650144662,0,63,5,Conservative,1,Ludlow,West Midlands,England,County,69444,72.32446288,47.08412145
Philip Hollobone,,,0,57,5,Conservative,1,Kettering,East Midlands,England,County,73164,67.46624023,33.9640607
Philippa Whitford,Dr_PhilippaW,2932558313,1,63,3,SNP,0,Central Ayrshire,Scotland,Scotland,County,69742,66.72306501,11.39811751
Preet Gill,PreetKGillMP,620007630,1,49,2,Labour,0,"Birmingham, Edgbaston",West Midlands,England,Borough,68828,61.49822747,13.26308826
Priti Patel,pritipatel,61660254,1,49,4,Conservative,1,Witham,East,England,County,70402,70.08891793,48.80431258
Rachael Maskell,RachaelMaskell,80151292,1,49,3,Labour,0,York Central,Yorkshire and The Humber,England,Borough,74899,66.09567551,27.36087264
Rachel Hopkins,rach_hopkins,952069440,1,49,1,Labour,0,Luton South,East,England,Borough,69338,60.66514754,20.81589958
Rachel Maclean,redditchrachel,8.61E+17,1,56,2,Conservative,1,Redditch,West Midlands,England,County,65391,67.3900078,36.39004244
Rachel Reeves,RachelReevesMP,34374472,1,42,4,Labour,0,Leeds West,Yorkshire and The Humber,England,Borough,67727,59.47554151,26.22576401
Ranil Jayawardena,TeamRanil,9.00E+17,0,35,3,Conservative,1,North East Hampshire,South East,England,County,78954,75.06902754,34.0998819
Rebecca Harris,RebeccaHarrisMP,515520108,1,54,4,Conservative,1,Castle Point,East,England,Borough,69608,63.60906792,60.15312691
Rebecca Long-Bailey,RLong_Bailey,385306338,1,42,3,Labour,0,Salford and Eccles,North West,England,Borough,82202,61.5946084,32.24640544
Rebecca Pow,pow_rebecca,371201577,1,61,3,Conservative,1,Taunton Deane,South West,England,County,88676,71.87175786,18.3578366
Rehman Chishti,Rehman_Chishti,2863865170,0,43,4,Conservative,1,Gillingham and Rainham,South East,England,Borough,73549,62.48623367,32.89742809
Richard Bacon,richardbaconmp,570197439,0,59,6,Conservative,1,South Norfolk,East,England,County,86214,72.47546802,34.04871647
Richard Burgon,RichardBurgon,545081356,0,41,3,Labour,0,Leeds East,Yorkshire and The Humber,England,Borough,67286,58.03881937,14.16316706
Richard Drax,,,0,63,4,Conservative,1,South Dorset,South West,England,County,73809,69.17584576,33.59512711
Richard Fuller,,,0,59,4,Conservative,1,North East Bedfordshire,East,England,County,90678,71.70206665,37.34811898
Richard Gordon Thomson,RThomsonMP,2173202897,0,45,1,SNP,0,Gordon,Scotland,Scotland,County,79629,70.22064826,1.464697046
Richard Graham,RichardGrahamUK,1530621674,0,63,4,Conservative,1,Gloucester,South West,England,Borough,81319,66.11493009,19.1150212
Richard Holden,RicHolden,2209331701,0,36,1,Conservative,1,North West Durham,North East,England,County,72166,66.04633761,2.40018463
Rishi Sunak,RishiSunak,1.17E+18,0,41,3,Conservative,1,Richmond (Yorks),Yorkshire and The Humber,England,County,82569,69.88458138,47.15526056
Rob Butler,AylesburyTories,415451238,0,121,1,Conservative,1,Aylesbury,South East,England,County,86665,69.89672878,28.67967512
Rob Roberts,,,0,121,1,Conservative,1,Delyn,Wales,Wales,County,54560,70.32624633,2.25436539
Robbie Moore,_RobbieMoore,1.16E+18,0,37,1,Conservative,1,Keighley,Yorkshire and The Humber,England,County,72778,72.27458847,4.216730038
Robert Buckland,RobertBuckland,14284260,0,53,4,Conservative,1,South Swindon,South West,England,County,73118,69.40288301,13.05521617
Robert Courts,robertcourts,20238327,0,43,3,Conservative,1,Witney,South East,England,County,83845,73.11706124,24.75654514
Robert Goodwill,,,0,65,5,Conservative,1,Scarborough and Whitby,Yorkshire and The Humber,England,County,74404,66.82974034,20.65401014
Robert Halfon,halfon4harlowMP,19758148,0,52,4,Conservative,1,Harlow,East,England,County,68078,63.6828344,32.43760668
Robert Jenrick,RobertJenrick,2323710210,0,39,4,Conservative,1,Newark,East Midlands,England,County,75850,72.19775873,39.83784376
Robert Largan,robertlargan,8.62E+17,0,34,1,Conservative,1,High Peak,East Midlands,England,County,74265,72.94553289,1.089103428
Robert Neill,neill_bob,2271025438,0,69,5,Conservative,1,Bromley and Chislehurst,London,England,Borough,66697,68.31791535,23.90159329
Robert Syms,RobertSyms,2202981242,0,65,7,Conservative,1,Poole,South West,England,Borough,73989,68.18716296,37.89023012
Robin John Millar,RobinMillarMP,1.19E+18,0,121,1,Conservative,1,Aberconwy,Wales,Wales,County,44699,71.28794828,6.383179037
Robin Walker,WalkerWorcester,1978270322,0,43,4,Conservative,1,Worcester,West Midlands,England,Borough,73485,69.26311492,13.27753546
Roger Gale,SirRogerGale,1.06E+18,0,78,10,Conservative,1,North Thanet,South East,England,County,72756,66.21859366,35.67811034
Ronnie Cowan,ronniecowan,132490359,0,62,3,SNP,0,Inverclyde,Scotland,Scotland,County,60622,65.82263865,18.82565221
Rosena Allin-Khan,DrRosena,2382227424,1,44,3,Labour,0,Tooting,London,England,Borough,76954,75.98435429,24.46770304
Rosie Cooper,rosie4westlancs,110767433,1,71,5,Labour,0,West Lancashire,North West,England,County,73347,71.79980095,15.82895012
Rosie Duffield,RosieDuffield1,2528020694,1,50,2,Labour,0,Canterbury,South East,England,County,80203,74.95106168,3.054247833
Rosie Winterton,,,1,63,7,Labour,0,Doncaster Central,Yorkshire and The Humber,England,Borough,71389,58.2456681,5.478463721
Royston Smith,Royston_Smith,75562171,0,57,3,Conservative,1,"Southampton, Itchen",South East,England,Borough,72299,65.59011881,9.485249151
Rupa Huq,RupaHuq,706747004,1,49,3,Labour,0,Ealing Central and Acton,London,England,Borough,75510,72.58243941,24.2669732
Rushanara Ali,rushanaraali,245849058,1,46,4,Labour,0,Bethnal Green and Bow,London,England,Borough,88262,68.61616551,61.95964466
Ruth Cadbury,RuthCadbury,108654496,1,62,3,Labour,0,Brentford and Isleworth,London,England,Borough,85775,67.99883416,18.02626616
Ruth Edwards,RuthEdwardsMP,1394164963,1,121,1,Conservative,1,Rushcliffe,East Midlands,England,County,77047,78.52998819,12.63201388
Ruth Jones,RuthNewportWest,1.09E+18,1,59,2,Labour,0,Newport West,Wales,Wales,County,66657,65.15894805,2.076761909
Sajid Javid,sajidjavid,20052899,0,52,4,Conservative,1,Bromsgrove,West Midlands,England,County,75078,72.28748768,42.57443986
Sally-Ann Hart,SallyAnn1066,1.19E+18,1,53,1,Conservative,1,Hastings and Rye,South East,England,County,80524,67.4010233,7.449239046
Sam Tarry,SamTarry,25718389,0,39,1,Labour,0,Ilford South,London,England,Borough,84972,62.93484913,45.06797315
Sammy Wilson,eastantrimmp,2979630241,0,68,5,DUP,0,East Antrim,Northern Ireland,Northern Ireland,County,64830,57.47493444,17.9973699
Saqib Bhatti,bhatti_saqib,431730103,0,36,1,Conservative,1,Meriden,West Midlands,England,County,85368,63.44414769,42.16318015
Sara Britcliffe,SarBritcliffeMP,1.21E+18,1,26,1,Conservative,1,Hyndburn,North West,England,Borough,70842,59.85997007,6.958920907
Sarah Atherton,AthertonNWales,,1,54,1,Conservative,1,Wrexham,Wales,Wales,County,49737,67.41862195,6.355123464
Sarah Champion,SarahChampionMP,948015937,1,52,4,Labour,0,Rotherham,Yorkshire and The Humber,England,Borough,61688,57.79243937,8.754312642
Sarah Dines,Dines4Dales,1.20E+18,1,121,1,Conservative,1,Derbyshire Dales,East Midlands,England,County,65080,76.85310387,34.75087972
Sarah Jones,LabourSJ,1337725045,1,49,2,Labour,0,Croydon Central,London,England,Borough,81407,66.3886398,11.00749376
Sarah Olney,sarahjolney1,4453006828,1,44,3,LibDem,0,Richmond Park,London,England,Borough,82699,78.67930688,11.93538968
Sarah Owen,SarahOwen_,250601094,1,121,1,Labour,0,Luton North,East,England,Borough,68185,62.46095182,21.7121792
Scott Lloyd Benton,ScottBentonMP,7.33E+17,0,34,1,Conservative,1,Blackpool South,North West,England,Borough,57690,56.77240423,11.26648754
Scott Mann,scottmann4NC,112761860,0,44,3,Conservative,1,North Cornwall,South West,England,County,69935,73.89433045,28.54599636
Seema Malhotra,SeemaMalhotra1,32369044,1,49,4,Labour,0,Feltham and Heston,London,England,Borough,80934,59.07406035,16.43763987
Selaine Saxby,SelaineSaxby,265280042,1,51,1,Conservative,1,North Devon,South West,England,County,75859,73.26882769,26.65119375
Shabana Mahmood,ShabanaMahmood,407741330,1,41,4,Labour,0,"Birmingham, Ladywood",West Midlands,England,Borough,74912,56.22330201,67.86172183
Shailesh Vara,ShaileshVara,1.01E+18,0,61,5,Conservative,1,North West Cambridgeshire,East,England,County,94909,67.99460536,40.26312119
Sharon Hodgson,SharonHodgsonMP,200700960,1,55,5,Labour,0,Washington and Sunderland West,North East,England,Borough,66278,56.59947494,9.924559486
Shaun Bailey,Shaun4WBW,471550298,0,29,1,Conservative,1,West Bromwich West,West Midlands,England,Borough,64517,53.41072896,11.02469602
Sheryll Murray,sheryllmurray,18627119,1,65,4,Conservative,1,South East Cornwall,South West,England,County,71825,74.70240167,39.08489423
Simon Baynes,baynes_simon,3817818435,0,61,1,Conservative,1,Clwyd South,Wales,Wales,County,53919,67.33433484,3.412659065
Simon Clarke,SimonClarkeMP,1715832776,0,37,2,Conservative,1,Middlesbrough South and East Cleveland,North East,England,County,72348,66.09305026,24.31352866
Simon Fell,simonfell,16454546,0,121,1,Conservative,1,Barrow and Furness,North West,England,County,70158,65.63185952,12.5722104
Simon Hart,Simonhartmp,1442028488,0,58,4,Conservative,1,Carmarthen West and South Pembrokeshire,Wales,Wales,County,59158,71.18901924,18.39055896
Simon Hoare,Simon4NDorset,3012159189,0,52,3,Conservative,1,North Dorset,South West,England,County,76765,73.08929851,43.31188622
Simon Jupp,simonjamesjupp,215778638,0,36,1,Conservative,1,East Devon,South West,England,County,87168,73.50518539,10.46930845
Siobhain McDonagh,Siobhain_Mc,580749365,1,61,7,Labour,0,Mitcham and Morden,London,England,Borough,70021,65.32468831,36.03331803
Siobhan Baillie,Siobhan_Baillie,129951559,1,121,1,Conservative,1,Stroud,South West,England,County,84537,77.98951938,5.824359169
Stella Creasy,stellacreasy,15580900,1,44,4,Labour,0,Walthamstow,London,England,County,70267,68.78762435,63.85021206
Stephanie Peacock,Steph_Peacock,51062977,1,35,2,Labour,0,Barnsley East,Yorkshire and The Humber,England,County,69504,54.77382597,8.450223273
Stephen Barclay,SteveBarclay,269788397,0,49,4,Conservative,1,North East Cambridgeshire,East,England,County,83699,63.27913117,56.62903104
Stephen Crabb,SCrabbPembs,810372954,0,48,5,Conservative,1,Preseli Pembrokeshire,Wales,Wales,County,59606,71.16565446,11.93333176
Stephen Doughty,SDoughtyMP,622426905,0,41,4,Labour,0,Cardiff South and Penarth,Wales,Wales,Borough,78837,64.15642401,25.18238795
Stephen Farry,StephenFarryMP,583327329,0,50,1,APNI,0,North Down,Northern Ireland,Northern Ireland,County,67099,60.57169257,7.302610536
Stephen Flynn,StephenFlynnSNP,487655647,0,33,1,SNP,0,Aberdeen South,Scotland,Scotland,Borough,65719,69.44414857,8.742714405
Stephen Hammond,S_Hammond,47916280,0,59,5,Conservative,1,Wimbledon,London,England,Borough,68240,77.70662368,1.184302337
Stephen Kinnock,SKinnock,722347303,0,51,3,Labour,0,Aberavon,Wales,Wales,County,50750,62.26206897,33.19830369
Stephen McPartland,SMcPartland,397160160,0,45,4,Conservative,1,Stevenage,East,England,County,71562,66.63173192,17.95608498
Stephen Metcalfe,Metcalfe_SBET,435980092,0,55,4,Conservative,1,South Basildon and East Thurrock,East,England,County,74441,60.84953184,43.98083758
Stephen Morgan,StephenMorganMP,24045870,0,40,2,Labour,0,Portsmouth South,South East,England,Borough,74186,63.92715607,11.30838166
Stephen Timms,stephenctimms,102107018,0,66,8,Labour,0,East Ham,London,England,Borough,88319,61.8530554,60.73076078
Steve Brine,BrineMP,11564602,0,47,4,Conservative,1,Winchester,South East,England,County,75582,77.91537668,1.672609951
Steve Double,stevedouble,21174263,0,55,3,Conservative,1,St Austell and Newquay,South West,England,County,79930,69.78105843,29.62923121
Steve McCabe,steve_mccabe,21408041,0,66,7,Labour,0,"Birmingham, Selly Oak",West Midlands,England,Borough,82665,59.84031936,25.09551822
Steve Reed,SteveReedMP,23749162,0,58,4,Labour,0,Croydon North,London,England,Borough,88468,62.85775648,44.36871729
Steven Baker,SteveBakerHW,15157283,0,50,4,Conservative,1,Wycombe,South East,England,County,78093,70.11639968,7.69596026
Steven Bonnar,StevenBonnarSNP,3369212393,0,121,1,SNP,0,"Coatbridge, Chryston and Bellshill",Scotland,Scotland,Borough,72943,66.10778279,11.66296842
Stewart Hosie,StewartHosieSNP,219298196,0,58,5,SNP,0,Dundee East,Scotland,Scotland,Borough,66210,68.38392992,29.54038474
Stewart Malcolm McDonald,StewartMcDonald,19608199,0,35,3,SNP,0,Glasgow South,Scotland,Scotland,Borough,70891,66.92386904,18.98067154
Stuart Andrew,StuartAndrew,20424362,0,50,4,Conservative,1,Pudsey,Yorkshire and The Humber,England,Borough,73212,74.05206797,6.487134557
Stuart C. McDonald,Stuart_McDonald,211883434,0,43,3,SNP,0,"Cumbernauld, Kilsyth and Kirkintilloch East",Scotland,Scotland,County,66079,69.13845549,28.40257409
Stuart Paul Anderson,Stuart4WolvesSW,7.27E+17,0,45,1,Conservative,1,Wolverhampton South West,West Midlands,England,Borough,60534,67.95519873,4.037825749
Suella Fernandes,SuellaBraverman,1722829178,1,41,3,Conservative,1,Fareham,South East,England,County,78337,73.08168554,45.5650655
Suzanne Webb,Q66Suzi,1469672990,1,121,1,Conservative,1,Stourbridge,West Midlands,England,Borough,69891,65.37179322,29.70299197
Tahir Ali,TahirAliMP,302302898,0,121,1,Labour,0,"Birmingham, Hall Green",West Midlands,England,Borough,80283,65.90560891,53.87915556
Taiwo Owatemi,TaiwoOwatemi,8.03E+17,1,121,1,Labour,0,Coventry North West,West Midlands,England,Borough,75247,63.44970564,0.435656836
Tanmanjit Singh Dhesi,TanDhesi,1865540413,0,43,2,Labour,0,Slough,South East,England,Borough,86818,58.78734825,26.72518516
Thangam Debbonaire,ThangamMP,262163061,1,55,3,Labour,0,Bristol West,South West,England,Borough,99253,76.09644041,37.36230272
Theo Clarke,theodoraclarke,61052508,1,36,1,Conservative,1,Stafford,West Midlands,England,County,72572,70.48035055,28.1080764
Theresa May,theresa_may,7.48E+17,1,65,7,Conservative,1,Maidenhead,South East,England,County,76668,73.68393593,33.36047582
Theresa Villiers,,,1,53,5,Conservative,1,Chipping Barnet,London,England,Borough,79960,71.99724862,2.105299727
Therese Coffey,theresecoffey,50714939,1,50,4,Conservative,1,Suffolk Coastal,East,England,County,81910,71.18544744,35.21472182
Tim Farron,timfarron,80021045,0,51,5,LibDem,0,Westmorland and Lonsdale,North West,England,County,67789,77.75892844,3.668993778
Tim Loughton,timloughton,108587399,0,59,7,Conservative,1,East Worthing and Shoreham,South East,England,County,75194,70.6545735,14.06791146
Tobias Ellwood,Tobias_Ellwood,482866177,0,55,5,Conservative,1,Bournemouth East,South West,England,Borough,74125,66.47419899,17.87149409
Toby Perkins,tobyperkinsmp,61733092,0,51,4,Labour,0,Chesterfield,East Midlands,England,Borough,71034,63.61179154,3.211171602
Tom Hunt,tomhunt1988,370033792,0,121,1,Conservative,1,Ipswich,East,England,Borough,75525,65.64581264,11.05104984
Tom Pursglove,VotePursglove,1418358025,0,33,3,Conservative,1,Corby,East Midlands,England,County,86153,70.19488584,16.97891691
Tom Randall,Tom_Randall,131268401,0,121,1,Conservative,1,Gedling,East Midlands,England,County,71336,70.02495234,1.359277721
Tom Tugendhat,TomTugendhat,2173779986,0,48,3,Conservative,1,Tonbridge and Malling,South East,England,County,79278,71.90267161,47.26242478
Tommy Sheppard,TommySheppard,280574046,0,62,3,SNP,0,Edinburgh East,Scotland,Scotland,Borough,69424,68.87387647,21.7860504
Tonia Antoniazzi,ToniaAntoniazzi,2855602085,1,50,2,Labour,0,Gower,Wales,Wales,County,61762,72.02163142,4.129760353
Tony Lloyd,tony4rochdale,23452834,0,71,10,Labour,0,Rochdale,North West,England,County,78909,60.12875591,20.37642001
Tracey Crouch,tracey_crouch,62613162,1,46,4,Conservative,1,Chatham and Aylesford,South East,England,County,71642,60.49524022,42.77803415
Tracy Brabin,TracyBrabin,48280657,1,60,3,Labour,0,Batley and Spen,Yorkshire and The Humber,England,Borough,79558,66.52630785,6.660116765
Trudy Harrison,,,1,45,3,Conservative,1,Copeland,North West,England,County,61693,68.92678262,13.73844743
Tulip Siddiq,TulipSiddiq,113491007,1,39,3,Labour,0,Hampstead and Kilburn,London,England,Borough,86571,66.28663178,24.72423107
Valerie Vaz,Valerie_VazMP,315283542,1,67,4,Labour,0,Walsall South,West Midlands,England,Borough,68024,62.43678702,8.137125636
